Vertice,Pai,Nivel
1,-1,0
2,-1,-1
3,-1,-1
4,-1,-1
5,-1,-1
6,-1,-1
7,365337,13
8,-1,-1
9,-1,-1
10,-1,-1
11,345709,10
12,-1,-1
13,-1,-1
14,-1,-1
15,-1,-1
16,-1,-1
17,306389,12
18,-1,-1
19,275949,12
20,-1,-1
21,202181,10
22,-1,-1
23,96028,13
24,-1,-1
25,-1,-1
26,-1,-1
27,206204,14
28,-1,-1
29,-1,-1
30,141597,14
31,-1,-1
32,-1,-1
33,-1,-1
34,-1,-1
35,247480,8
36,-1,-1
37,-1,-1
38,-1,-1
39,292706,13
40,65827,12
41,-1,-1
42,-1,-1
43,287303,13
44,-1,-1
45,193291,10
46,87605,12
47,15776,11
48,-1,-1
49,-1,-1
50,7479,10
51,234727,13
52,-1,-1
53,-1,-1
54,322012,13
55,239951,13
56,-1,-1
57,220373,12
58,-1,-1
59,-1,-1
60,-1,-1
61,-1,-1
62,-1,-1
63,224093,11
64,200769,13
65,-1,-1
66,-1,-1
67,-1,-1
68,343441,12
69,-1,-1
70,254023,11
71,-1,-1
72,-1,-1
73,-1,-1
74,-1,-1
75,268197,11
76,-1,-1
77,-1,-1
78,-1,-1
79,186524,13
80,-1,-1
81,-1,-1
82,-1,-1
83,117813,13
84,4369,12
85,-1,-1
86,-1,-1
87,-1,-1
88,-1,-1
89,309518,11
90,14170,13
91,-1,-1
92,-1,-1
93,256442,12
94,-1,-1
95,-1,-1
96,-1,-1
97,316820,12
98,-1,-1
99,68248,12
100,-1,-1
101,-1,-1
102,-1,-1
103,-1,-1
104,-1,-1
105,120456,14
106,-1,-1
107,-1,-1
108,208925,14
109,-1,-1
110,-1,-1
111,-1,-1
112,47474,12
113,-1,-1
114,-1,-1
115,-1,-1
116,-1,-1
117,-1,-1
118,130110,12
119,-1,-1
120,15434,11
121,241630,12
122,-1,-1
123,242398,15
124,-1,-1
125,-1,-1
126,-1,-1
127,-1,-1
128,-1,-1
129,220584,14
130,109848,12
131,45334,14
132,48931,13
