Vertice,Pai,Nivel
1,-1,0
2,-1,-1
3,-1,-1
4,-1,-1
5,-1,-1
6,-1,-1
7,365337,38835
8,-1,-1
9,-1,-1
10,-1,-1
11,102828,37926
12,-1,-1
13,-1,-1
14,-1,-1
15,-1,-1
16,-1,-1
17,246542,3211
18,-1,-1
19,275949,39885
20,-1,-1
21,202181,9974
22,-1,-1
23,96028,40606
24,-1,-1
25,-1,-1
26,-1,-1
27,206204,8011
28,-1,-1
29,-1,-1
30,141597,34369
31,-1,-1
32,-1,-1
33,-1,-1
34,-1,-1
35,50030,33822
36,-1,-1
37,-1,-1
38,-1,-1
39,292706,28671
40,133680,7564
41,-1,-1
42,-1,-1
43,287303,28552
44,-1,-1
45,193291,6143
46,87605,25452
47,15776,5541
48,-1,-1
49,-1,-1
50,217191,19452
51,154563,40096
52,-1,-1
53,-1,-1
54,364783,28595
55,239951,34921
56,-1,-1
57,220373,15343
58,-1,-1
59,-1,-1
60,-1,-1
61,-1,-1
62,-1,-1
63,224093,12404
64,164055,36424
65,-1,-1
66,-1,-1
67,-1,-1
68,227560,286
69,-1,-1
70,336636,14259
71,-1,-1
72,-1,-1
73,-1,-1
74,-1,-1
75,268197,34604
76,-1,-1
77,-1,-1
78,-1,-1
79,253339,32922
80,-1,-1
81,-1,-1
82,-1,-1
83,74207,33032
84,4369,40070
85,-1,-1
86,-1,-1
87,-1,-1
88,-1,-1
89,182043,15312
90,14170,13878
91,-1,-1
92,-1,-1
93,256442,20664
94,-1,-1
95,-1,-1
96,-1,-1
97,335323,20009
98,-1,-1
99,239720,17930
100,-1,-1
101,-1,-1
102,-1,-1
103,-1,-1
104,-1,-1
105,113959,1772
106,-1,-1
107,-1,-1
108,155244,31895
109,-1,-1
110,-1,-1
111,-1,-1
112,47474,11171
113,-1,-1
114,-1,-1
115,-1,-1
116,-1,-1
117,-1,-1
118,130110,14045
119,-1,-1
120,194606,25547
121,366605,28103
122,-1,-1
123,152771,33645
124,-1,-1
125,-1,-1
126,-1,-1
127,-1,-1
